feature,mean_coef,std_coef,frac_nonzero
z_l2_T2W10,-1.3461101786979384,2.5026239506316927,1.0
z_pe_T2W10,1.3297849404635633,2.3658796608128396,1.0
z_asp_T2W10,-0.9197040036904193,1.2228074996562457,1.0
z_density_T2W10,-0.6247147135746947,0.9246869946786049,1.0
z_diameter_T2W10,-0.36885066198965105,0.7527727503395701,1.0
z_l3_T2W10,-0.3567612781160148,0.3902659891561715,1.0
z_l1_T2W10,0.3239265966951282,0.6732379792442218,1.0
z_atd_T2W10,-0.29706772488827116,0.43867531060290565,1.0
z_re_T2W10,-0.2665697040114683,0.36240734991391854,1.0
z_lsc_T2W10,-0.23338527193121092,0.6281682571949755,1.0
z_lcc_T2W10,-3.1888699290494453e-16,2.0101610680267804e-14,0.0
z_edges_T2W10,0.0,0.0,0.0
z_nodes_T2W10,0.0,0.0,0.0
