subject,pe_T2W10,l2_T2W10
CDMS-10-4A-JURAN,0.4388489208633093,0.2949640287769784
CDMS-10-5A-HEPIHO,0.0625,0.0625
CDMS-10-5A-KSRAGU,0.146788990825688,0.146788990825688
CDMS-10-5A-SROPU,0.2439024390243902,0.2012195121951219
CDMS-10-5A-SZURO,0.0909090909090909,0.0606060606060606
CDMS-10-5B-SRAJA,0.1720430107526881,0.1720430107526881
CDMS-10-5C-DAAUSA,0.1793103448275862,0.1172413793103448
CDMS-10-5C-ICAPA,0.1860465116279069,0.1860465116279069
CDMS-10-5C-JFALGI,0.0,0.0
CDMS-10-5C-MAORTO,0.0,0.0
CDMS-10-5C-NBEMO,0.3372093023255814,0.3023255813953488
CDMS-10-6B-ASCACO,0.6153846153846154,0.4017094017094017
CDMS-10-6B-JJMOBE,0.0,0.0
CDMS-11-5A-EAARCA,0.2197802197802197,0.2197802197802197
CDMS-11-5A-MGTHAR,0.036697247706422,0.036697247706422
CDMS-11-6A-DFVEBE,0.1509433962264151,0.1509433962264151
CDMS-11-6A-NMREPR,0.073394495412844,0.073394495412844
CDMS-11-6B-ARAHE,0.24,0.17
CDMS-11-6B-AVROTO,0.1118881118881118,0.1118881118881118
CDMS-11-6B-EAFESA,0.0840336134453781,0.0840336134453781
CDMS-11-6B-EFRGR,0.1121495327102803,0.1121495327102803
CDMS-11-6B-EROCO,0.1927710843373494,0.1927710843373494
CDMS-11-6B-JACUPE,0.405,0.335
CDMS-11-6B-JDCHBA,0.1208791208791208,0.1208791208791208
CDMS-11-6B-JFSAHE,0.1419753086419753,0.1419753086419753
CDMS-11-6B-JLPENA,0.074074074074074,0.074074074074074
CDMS-11-6B-JMARME,0.2465753424657534,0.2226027397260274
CDMS-11-6B-JPSAMA,0.1904761904761904,0.1904761904761904
CDMS-11-6B-LESTA,0.1221374045801526,0.1221374045801526
CDMS-11-6B-MAGIMU,0.0,0.0
CDMS-11-6B-MEBRTA,0.2213740458015267,0.2061068702290076
CDMS-11-6B-MMAMO,0.2073732718894009,0.1198156682027649
CDMS-11-6B-RSECA,0.1975308641975308,0.1975308641975308
CDMS-11-6B-SCAPA,0.0,0.0
CDMS-11-6B-VZAPE,0.2816901408450704,0.2816901408450704
CDMS-11-6B-YLNIME,0.0952380952380952,0.0952380952380952
CDMS-11-7C-ICARE,0.2424242424242424,0.2424242424242424
CDMS-11-7C-SALMA,0.0833333333333333,0.0833333333333333
CDMS-11-7C-SPGAVE,0.125,0.125
CDMS-12-5A-SRIGO,0.3543689320388349,0.233009708737864
CDMS-12-6A-FAROPA,0.087431693989071,0.087431693989071
CDMS-12-6A-JGIGA,0.0592592592592592,0.0592592592592592
CDMS-12-6A-JSOTGU,0.0,0.0
CDMS-12-6A-SROAL,0.0579710144927536,0.0579710144927536
CDMS-12-6B-IJDAGA,0.3511111111111111,0.2577777777777778
CDMS-12-6B-SCLAG,0.8518518518518519,0.5925925925925926
CDMS-12-7C-ARAHE,0.5714285714285714,0.3214285714285714
CDMS-12-7C-CATRAR,0.0,0.0
CDMS-12-7C-DLOLO,0.2388059701492537,0.2388059701492537
CDMS-12-7C-JSZAOR,0.1666666666666666,0.1145833333333333
CDMS-12-7C-MAROBE,0.0,0.0
CDMS-12-7C-VMAPA,0.0,0.0
CDMS-12-7C-VQURA,0.2388059701492537,0.2388059701492537
CDMS-13-6B-ASUMO,0.0,0.0
CDMS-13-6B-JDTAHE,0.3302752293577982,0.2660550458715596
CDMS-13-7C-MVEAR,0.514018691588785,0.3831775700934579
CDMS-13-7C-RAIZAC,0.233009708737864,0.1650485436893204
CDMS-13-7C-SSOSLO,0.421875,0.3125
CDMS-14-10A-IMORTO,0.1142857142857142,0.1142857142857142
CDMS-14-10A-JCVANI,0.1746724890829694,0.1135371179039301
CDMS-14-6B-KDCAHE,0.1212121212121212,0.1212121212121212
CDMS-15-10A-AMALOS,0.1560693641618497,0.1156069364161849
CDMS-15-10A-JJMACH,0.1153846153846153,0.1153846153846153
CDMS-15-10A-MAALCA,0.5966386554621849,0.5378151260504201
CDMS-15-10A-MAALRI,0.1111111111111111,0.1111111111111111
CDMS-15-10A-SGOMO,0.3790849673202614,0.2745098039215686
CDMS-15-10A-SHEGA,0.3571428571428571,0.1887755102040816
CDMS-15-11B-JEMOLO,0.13,0.07
CDMS-15-11B-VSAHO,0.2054794520547945,0.2054794520547945
CDMS-16-10A-SGALO,0.0,0.0
CDMS-16-11B-NGABE,0.2531645569620253,0.2531645569620253
CDMS-17-10A-ASSAMO,0.0,0.0
CDMS-18-7C-VVECA,0.0449438202247191,0.0449438202247191
CDMS-8-4A-DBEVA,0.25,0.25
CDMS-8-4A-DJAVDA,0.0,0.0
CDMS-8-4A-DOSTR,0.2033898305084746,0.2033898305084746
CDMS-8-4A-LGOPA,0.2790697674418604,0.2790697674418604
CDMS-8-4C-JDBUTU,0.5897435897435898,0.4102564102564102
CDMS-9-4A-ACDUTR,0.4102564102564102,0.4102564102564102
CDMS-9-4A-CARGA,0.1951219512195122,0.1951219512195122
CDMS-9-4A-CRAAG,0.9777777777777776,0.4
CDMS-9-4A-EROHI,0.1666666666666666,0.1666666666666666
CDMS-9-4A-ILOSE,0.0467836257309941,0.0467836257309941
CDMS-9-4A-TGAFR,0.1904761904761904,0.1904761904761904
CDMS-9-4C-SCAMO,0.0864864864864864,0.0864864864864864
CDMS-9-5A-ABERO,0.5970149253731343,0.4925373134328358
CDMS-9-5A-VVAAR,0.0833333333333333,0.05
CDMS-9-5C-JDMADE,0.3318777292576419,0.1877729257641921
CDMS-9-5C-LVIZAC,0.4404145077720207,0.3056994818652849
CDMS-9-5C-MLOGO,0.1848739495798319,0.1428571428571428
CDMS-9-5C-SCAAG,2.4,1.04
CDMS-XX-10A-VGILO,0.0634920634920634,0.0634920634920634
CDMS-XX-5C-MPCAQU,0.2185792349726776,0.2185792349726776
CDMS-XX-6B-SPUCA,0.3903743315508021,0.2941176470588235
CSO-10-4A-KCOMO,0.0747663551401869,0.0747663551401869
CSO-10-4A-LRAVI,0.1818181818181818,0.1818181818181818
CSO-10-4A-LSCAVA,0.1666666666666666,0.1666666666666666
CSO-10-5A-ACAVA,0.1739130434782608,0.1739130434782608
CSO-10-5A-ARACA,0.3291139240506329,0.2151898734177215
CSO-10-5A-DABRZA,0.5454545454545454,0.3957219251336898
CSO-10-5A-GZAMA,0.0,0.0
CSO-10-5A-IPECA,0.0592592592592592,0.0592592592592592
CSO-10-5A-JANORO,0.0941176470588235,0.0941176470588235
CSO-10-5A-JBUVE,0.3333333333333333,0.275
CSO-10-5A-JJSEMO,0.5192307692307693,0.4230769230769231
CSO-10-5A-JLCARI,0.5714285714285714,0.4464285714285714
CSO-10-5A-MAARAN,0.0833333333333333,0.0833333333333333
CSO-10-5A-RVMOIB,0.1970443349753694,0.1625615763546798
CSO-10-5A-SVHEES,0.2751322751322751,0.2539682539682539
CSO-11-5A-MDVOSPE,0.2133333333333333,0.1666666666666666
CSO-11-5A-MTAGA,0.0,0.0
CSO-11-6A-CAPAMU,0.2897196261682243,0.2570093457943925
CSO-11-6A-DSCACH,0.0987654320987654,0.0987654320987654
CSO-11-6A-EROMO,0.1379310344827586,0.1379310344827586
CSO-11-6A-FSOVRE,0.4407894736842105,0.3289473684210526
CSO-11-6B-ANREVA,0.1759259259259259,0.1759259259259259
CSO-11-6B-DISEMO,0.0,0.0
CSO-11-6B-LHFDLACH,0.3536585365853658,0.2682926829268293
CSO-11-6B-RJGIHE,0.0289855072463768,0.0289855072463768
CSO-11-6B-SFLVA,0.4461538461538462,0.3384615384615385
CSO-11-6B-VCOMA,0.2135416666666666,0.1354166666666666
CSO-12-6A-DGISE,0.35,0.35
CSO-12-6A-FJOVRE,0.3522012578616352,0.2641509433962264
CSO-12-6B-GQULO,0.1893491124260355,0.1893491124260355
CSO-12-6B-LJHEFE,0.2831050228310502,0.1917808219178082
CSO-12-6B-VPAMA,0.0,0.0
CSO-12-7A-DALRE,0.1481481481481481,0.1481481481481481
CSO-12-7A-ESALA,0.0384615384615384,0.0384615384615384
CSO-12-7A-IMERO,0.1677419354838709,0.1677419354838709
CSO-12-7A-JHEZA,0.2654028436018957,0.2322274881516587
CSO-12-7A-LSARAR,0.0,0.0
CSO-12-7A-SCAHO,0.0851063829787234,0.0851063829787234
CSO-12-7B-DVAGRO,0.5,0.25
CSO-12-7B-SMUGU,0.1584158415841584,0.0891089108910891
CSO-12-7B-SSARA,0.3004694835680751,0.2018779342723004
CSO-12-7B-VHOMA,0.256,0.256
CSO-12-8A-YTOME,0.4516129032258064,0.3951612903225806
CSO-13-6A-ANASA,0.0824742268041237,0.0463917525773195
CSO-13-6B-JETAVE,0.3218390804597701,0.2413793103448276
CSO-13-6B-LFMIES,0.1212121212121212,0.1212121212121212
CSO-13-6B-LJMAHU,0.3934426229508196,0.3934426229508196
CSO-13-7A-CAPAMU,0.2666666666666666,0.22
CSO-13-7A-CDDITR,0.1904761904761904,0.1904761904761904
CSO-13-7A-JJATFL,0.0961538461538461,0.0961538461538461
CSO-13-7A-KRAMA,0.2857142857142857,0.2857142857142857
CSO-13-7A-RXCHLU,0.256,0.256
CSO-13-7A-YAMEZA,0.1377410468319559,0.1377410468319559
CSO-13-8A-KIGAGU,0.2882882882882883,0.2252252252252252
CSO-13-8A-MBUAN,0.0,0.0
CSO-13-8A-MGAAN,0.0606060606060606,0.0606060606060606
CSO-13-8A-MGAHE,0.3413461538461538,0.2788461538461538
CSO-13-8A-MJAGA,0.4137931034482758,0.293103448275862
CSO-13-8A-VHODU,0.2038216560509554,0.1592356687898089
CSO-13-8B-FCJISA,0.0869565217391304,0.0869565217391304
CSO-13-8B-JEMABE,0.4426229508196721,0.360655737704918
CSO-13-9B-DMLLLU,0.135593220338983,0.135593220338983
CSO-14-7A-MVEBE,0.0,0.0
CSO-14-7B-EALHU,0.3333333333333333,0.3333333333333333
CSO-14-7B-EVEGO,0.135593220338983,0.1186440677966101
CSO-14-8A-AQUMA,0.1138211382113821,0.1138211382113821
CSO-14-8A-MCIDOS,0.8421052631578947,0.8421052631578947
CSO-14-8A-SZARA,0.3932584269662921,0.3932584269662921
CSO-14-8B-JLLORA,0.0,0.0
CSO-14-9A-AEDCAGO,0.1411764705882353,0.1411764705882353
CSO-14-9A-HASACA,0.0601503759398496,0.0601503759398496
CSO-14-9A-JSMAAL,0.0792079207920792,0.0792079207920792
CSO-14-9A-MARJA,0.0,0.0
CSO-14-9A-SORZU,0.1415929203539823,0.079646017699115
CSO-14-9B-ERAGA,0.0,0.0
CSO-14-9B-MFEGA,0.4057971014492754,0.3043478260869565
CSO-15-10A-LJRAGU,0.3350785340314136,0.2984293193717277
CSO-15-10A-MAARLO,0.1860465116279069,0.1860465116279069
CSO-15-10A-SFEGA,0.0,0.0
CSO-15-10B-MEBUAR,0.1333333333333333,0.1333333333333333
CSO-15-10B-YVBUAN,0.1111111111111111,0.1111111111111111
CSO-15-10C-ALBAHO,0.0,0.0
CSO-15-10C-SSCAMO,0.0,0.0
CSO-15-11C-JETALO,0.3820754716981132,0.2216981132075471
CSO-15-7B-JCRAGA,0.0,0.0
CSO-15-8A-VBMABR,0.146788990825688,0.0825688073394495
CSO-15-8B-KEPOGO,0.1344086021505376,0.1344086021505376
CSO-15-9B-ALRIHE,0.0470588235294117,0.0470588235294117
CSO-15-9B-AMSAGO,0.1311475409836065,0.1311475409836065
CSO-15-9B-JCAPA,0.1666666666666666,0.1666666666666666
CSO-15-9B-KSBEJA,0.042016806722689,0.042016806722689
CSO-15-9B-RMCHLU,0.2068965517241379,0.146551724137931
CSO-16-10A-JEGAHE,0.0,0.0
CSO-16-10A-MSACO,0.0,0.0
CSO-16-10A-SMOUT,0.0,0.0
CSO-16-10A-YKMUJO,0.4,0.4
CSO-16-10B-JESUGU,0.0,0.0
CSO-16-10B-LTVIFA,0.2352941176470588,0.2352941176470588
CSO-16-10B-VVILI,0.1438848920863309,0.1438848920863309
CSO-16-10C-ACALGU,0.1269841269841269,0.1269841269841269
CSO-16-10C-MAVAVE,0.0808823529411764,0.0808823529411764
CSO-16-11A-JAVABO,0.188235294117647,0.188235294117647
CSO-16-11A-JDMUVA,0.1927710843373494,0.1506024096385542
CSO-16-11A-VZAOR,0.1126760563380281,0.1126760563380281
CSO-16-11B-KRORE,0.0808823529411764,0.0588235294117647
CSO-16-11B-LLOZA,0.3390804597701149,0.2356321839080459
CSO-16-11B-YAROMO,0.2645914396887159,0.1361867704280155
CSO-16-9A-JALEMO,0.1428571428571428,0.1428571428571428
CSO-16-9A-JPROSO,0.2154471544715447,0.1382113821138211
CSO-16-9A-JSMAGU,0.1666666666666666,0.1180555555555555
CSO-16-9B-SJPAJI,0.1818181818181818,0.1818181818181818
CSO-17-10A-YVGOCA,0.0,0.0
CSO-17-10B-EHECO,0.0,0.0
CSO-17-10B-YCQUVE,0.3128491620111732,0.2346368715083799
CSO-17-11A-DJAPA,0.296875,0.234375
CSO-17-11A-JDAMO,0.0,0.0
CSO-17-11A-NPAHE,0.5161290322580645,0.3806451612903225
CSO-17-11A-RLPAIG,0.2142857142857142,0.1517857142857142
CSO-17-11A-SPUVA,0.0952380952380952,0.0952380952380952
CSO-17-11B-CDBEBU,0.5494505494505495,0.4395604395604395
CSO-17-11C-JDAAG,0.2666666666666666,0.22
CSO-17-11C-MAPAMA,0.1736526946107784,0.1616766467065868
CSO-17-11C-MCAAG,0.1834862385321101,0.1834862385321101
CSO-17-11C-SARJA,0.0757575757575757,0.0757575757575757
CSO-18-11A-ADBAHO,0.0666666666666666,0.0666666666666666
CSO-18-11B-YLLRE,0.1904761904761904,0.1626984126984127
CSO-18-9B-MAMOLO,0.3593314763231198,0.2506963788300835
CSO-8-3A-AIPRBR,0.0,0.0
CSO-8-3A-DAPAVA,0.238095238095238,0.238095238095238
CSO-8-3A-KVPECO,0.813953488372093,0.5348837209302325
CSO-8-4A-ARAGR,0.0,0.0
CSO-8-4A-JRAAR,0.2962962962962963,0.2962962962962963
CSO-9-2A-EXMOCO,0.1438848920863309,0.1438848920863309
CSO-9-4A-AGAPE,0.2560975609756097,0.1707317073170731
CSO-9-4A-DKVIMO,0.1012658227848101,0.1012658227848101
CSO-9-4A-DSMOMU,0.226950354609929,0.226950354609929
CSO-9-4A-DVGATO,0.3511904761904761,0.3333333333333333
CSO-9-4A-FAGIGA,0.3457943925233644,0.2336448598130841
CSO-9-4A-GSBRCO,0.0273972602739726,0.0273972602739726
CSO-9-4A-KEMOCO,0.0,0.0
CSO-9-4A-LCOMO,0.3134328358208955,0.2238805970149253
CSO-9-4A-MLORO,0.3870967741935484,0.3870967741935484
CSO-9-4A-MPAME,0.4509803921568627,0.392156862745098
CSO-9-4A-NSARPA,0.0142857142857142,0.0142857142857142
CSO-9-4A-SLOCA,0.55,0.375
CSO-9-4A-YVDITR,0.0,0.0
