feature,mean_coef,std_coef,frac_nonzero
z_pe_T2W10,1.1408560306887086,1.139212512692194,1.0
z_l3_T2W10,-0.966915015797523,0.8694960075268088,1.0
z_density_T2W10,-0.936766044453108,1.4574353629083698,1.0
z_l2_T2W10,0.5409581076616844,1.7647147739686742,1.0
z_l1_T2W10,-0.5286362189827677,1.7601275782550476,1.0
z_diameter_T2W10,0.49547061946018833,2.2414277320327165,1.0
z_atd_T2W10,-0.359366416032919,0.7359557290412588,1.0
z_lsc_T2W10,0.18978282963407808,0.9998410036167947,1.0
z_re_T2W10,-0.11310168605514803,0.9858493653705516,1.0
z_asp_T2W10,0.026507234015668103,1.330652037069945,1.0
z_lcc_T2W10,1.1032708168433393e-15,3.658357180825523e-14,0.0
z_edges_T2W10,0.0,0.0,0.0
z_nodes_T2W10,0.0,0.0,0.0
